Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais,Duplicado de
Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda, 703, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 4796-4762,,auxiliar.adm@centrho.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Centrho+De+Hematologia+E+Hemoterapia+De+Mogi+Das+Cruzes+Ltda+CENTRHO+DE+HEMATOLOGIA+E+HEMOTERAPIA+DE+MOGI+DAS+CRUZES+LTDA%2C+703%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602784807; CNES 2784807; CNPJ 54787338000164; site oficial/redes não coletados nesta fonte,Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda
Clinica Anhembi,Saúde,Clínica,Mogi das Cruzes,Centro,"Anhembi Clinica Medica Especializada Ltda, 49, Centro, Mogi Das Cruzes, Sp",(11) 4724-8433,,financeiro@clinicaanhembi.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Anhembi+ANHEMBI+CLINICA+MEDICA+ESPECIALIZADA+LTDA%2C+49%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602773198; CNES 2773198; CNPJ 44287977000107; site oficial/redes não coletados nesta fonte,Clinica Anhembi
Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda,Saúde,Clínica,Mogi das Cruzes,Jardim Santista,"Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda, 797, Jardim Santista, Mogi Das Cruzes, Sp",(11) 4790-1617,,centrho@centrho.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Centrho+De+Hematologia+E+Hemoterapia+De+Mogi+Das+Cruzes+Ltda+CENTRHO+DE+HEMATOLOGIA+E+HEMOTERAPIA+DE+MOGI+DAS+CRUZES+LTDA%2C+797%2C+JARDIM+SANTISTA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602784696; CNES 2784696; CNPJ 54787338000598; site oficial/redes não coletados nesta fonte,Centrho De Hematologia E Hemoterapia De Mogi Das Cruzes Ltda
Centro De Imunobiologicos Imunecare Ltda,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"Centro De Imunobiologicos Imunecare Ltda, 770, Parque Monte Libano, Mogi Das Cruzes, Sp",(12) 3943-3151,,contato@imunecare.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Centro+De+Imunobiologicos+Imunecare+Ltda+CENTRO+DE+IMUNOBIOLOGICOS+IMUNECARE+LTDA%2C+770%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530609906339; CNES 9906339; CNPJ 07894503000288; site oficial/redes não coletados nesta fonte,Centro De Imunobiologicos Imunecare Ltda
De Grao Em Grao Clinica Multidisciplinar Ltda,Saúde,Clínica,Mogi das Cruzes,Parque Monte Libano,"De Grao Em Grao Clinica Multidisciplinar Ltda, 1420, Parque Monte Libano, Mogi Das Cruzes, Sp",(11) 4566-5773,,clinicadegraoemgrao@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=De+Grao+Em+Grao+Clinica+Multidisciplinar+Ltda+DE+GRAO+EM+GRAO+CLINICA+MULTIDISCIPLINAR+LTDA%2C+1420%2C+PARQUE+MONTE+LIBANO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604804651; CNES 4804651; CNPJ 43650831000383; site oficial/redes não coletados nesta fonte,De Grao Em Grao Clinica Multidisciplinar Ltda
Diagnosticos Da America S A,Saúde,Clínica,Mogi das Cruzes,Vila Suissa,"Diagnosticos Da America S A, 521, Vila Suissa, Mogi Das Cruzes, Sp",(11) 4197-5433,,claudineipereira@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Diagnosticos+Da+America+S+A+DIAGNOSTICOS+DA+AMERICA+S+A%2C+521%2C+VILA+SUISSA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530606811620; CNES 6811620; CNPJ 61486650063347; site oficial/redes não coletados nesta fonte,Diagnosticos Da America S A
Diagnosticos Da America S A,Saúde,Clínica,Mogi das Cruzes,Vila Jundiai,"Diagnosticos Da America S A, 2585, Vila Jundiai, Mogi Das Cruzes, Sp",(11) 4197-5494,,clauidneipereira@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Diagnosticos+Da+America+S+A+DIAGNOSTICOS+DA+AMERICA+S+A%2C+2585%2C+VILA+JUNDIAI%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530605030277; CNES 5030277; CNPJ 61486650063690; site oficial/redes não coletados nesta fonte,Diagnosticos Da America S A
Diagnosticos Da America S A,Saúde,Clínica,Mogi das Cruzes,Jundiapeba,"Diagnosticos Da America S A, 29, Jundiapeba, Mogi Das Cruzes, Sp",(11) 2630-3000,,tributario@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Diagnosticos+Da+America+S+A+DIAGNOSTICOS+DA+AMERICA+S+A%2C+29%2C+JUNDIAPEBA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530608385327; CNES 8385327; CNPJ 61486650070041; site oficial/redes não coletados nesta fonte,Diagnosticos Da America S A
De Grao Em Grao Clinica Multidisciplinar Ltda,Saúde,Clínica,Mogi das Cruzes,Vila Oliveira,"De Grao Em Grao Clinica Multidisciplinar Ltda, 1052, Vila Oliveira, Mogi Das Cruzes, Sp",(11) 4566-5773,,clinicadegraoemgrao@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=De+Grao+Em+Grao+Clinica+Multidisciplinar+Ltda+DE+GRAO+EM+GRAO+CLINICA+MULTIDISCIPLINAR+LTDA%2C+1052%2C+VILA+OLIVEIRA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604437616; CNES 4437616; CNPJ 43650831000200; site oficial/redes não coletados nesta fonte,De Grao Em Grao Clinica Multidisciplinar Ltda
Espaco Terapeutico Cinthia Franca,Saúde,Clínica,Mogi das Cruzes,Vila Oliveira,"Espaco Terapeutico Danilo Franca Ltda, 331, Vila Oliveira, Mogi Das Cruzes, Sp",(11) 4122-6698,,danilo.franca@espacocinthiafranca.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Espaco+Terapeutico+Cinthia+Franca+ESPACO+TERAPEUTICO+DANILO+FRANCA+LTDA%2C+331%2C+VILA+OLIVEIRA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530605693454; CNES 5693454; CNPJ 46804679000253; site oficial/redes não coletados nesta fonte,Espaco Terapeutico Cinthia Franca
Hospital Santana,Saúde,Hospital,Mogi das Cruzes,Centro,"Notre Dame Intermedica Saude S A, 71, Centro, Mogi Das Cruzes, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Santana+NOTRE+DAME+INTERMEDICA+SAUDE+S+A%2C+71%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602083256; CNES 2083256; CNPJ 44649812027176; site oficial/redes não coletados nesta fonte,Hospital Santana
Integrar Psicologia E Saude,Saúde,Clínica,Mogi das Cruzes,Vila Natal,"R R Integrar Psicologia E Saude Ltda, 447, Vila Natal, Mogi Das Cruzes, Sp",(11) 4726-4548,,srpservicoscontabeis@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Integrar+Psicologia+E+Saude+R+R+INTEGRAR+PSICOLOGIA+E+SAUDE+LTDA%2C+447%2C+VILA+NATAL%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603739899; CNES 3739899; CNPJ 31810209000225; site oficial/redes não coletados nesta fonte,Integrar Psicologia E Saude
Mogi Mater Hospital E Maternidade,Saúde,Maternidade,Mogi das Cruzes,Centro,"Hospital E Maternidade Mogi Ltda, 83, Centro, Mogi Das Cruzes, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Mogi+Mater+Hospital+E+Maternidade+HOSPITAL+E+MATERNIDADE+MOGI+LTDA%2C+83%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,35,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602784874; CNES 2784874; CNPJ 04711695000170; site oficial/redes não coletados nesta fonte,Mogi-Mater Hospital e Maternidade
Nasa Laboratorio Bio Clinico Ltda,Saúde,Clínica,Mogi das Cruzes,Jardim Santista,"Nasa Laboratorio Bio Clinico Ltda, 371, Jardim Santista, Mogi Das Cruzes, Sp",(11) 2090-0515,,carlaa@nasalaboratorio.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Nasa+Laboratorio+Bio+Clinico+Ltda+NASA+LABORATORIO+BIO+CLINICO+LTDA%2C+371%2C+JARDIM+SANTISTA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530603611353; CNES 3611353; CNPJ 46502423000887; site oficial/redes não coletados nesta fonte,Nasa Laboratorio Bio Clinico Ltda
Notre Dame Intermedica Saude S A,Saúde,Clínica,Mogi das Cruzes,Centro,"Notre Dame Intermedica Saude S A, 300, Centro, Mogi Das Cruzes, Sp",(11) 3155-2000,,cadastro.federal@intermedica.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Notre+Dame+Intermedica+Saude+S+A+NOTRE+DAME+INTERMEDICA+SAUDE+S+A%2C+300%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604354125; CNES 4354125; CNPJ 44649812040431; site oficial/redes não coletados nesta fonte,Notre Dame Intermedica Saude S A
Radiologic Radiologia E Diagnostico Odontologico Ltda,Saúde,Clínica,Mogi das Cruzes,Centro,"Radiologic Radiologia E Diagnostico Odontologico Ltda, 1493, Centro, Mogi Das Cruzes, Sp",(11) 4726-1535,,patricia@radiologicdigital.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Radiologic+Radiologia+E+Diagnostico+Odontologico+Ltda+RADIOLOGIC+RADIOLOGIA+E+DIAGNOSTICO+ODONTOLOGICO+LTDA%2C+1493%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530608097003; CNES 8097003; CNPJ 15232839000122; site oficial/redes não coletados nesta fonte,Radiologic Radiologia E Diagnostico Odontologico Ltda
Notre Dame Intermedica Saude S A,Saúde,Clínica,Mogi das Cruzes,Centro,"Notre Dame Intermedica Saude S A, 255, Centro, Mogi Das Cruzes, Sp",(11) 4795-4006,,fabio.oliveira@intermedica.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Notre+Dame+Intermedica+Saude+S+A+NOTRE+DAME+INTERMEDICA+SAUDE+S+A%2C+255%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600181595; CNES 0181595; CNPJ 44649812027761; site oficial/redes não coletados nesta fonte,Notre Dame Intermedica Saude S A
Unifi Unidade De Fisioterapia Intensiva S S Ltda,Saúde,Clínica,Mogi das Cruzes,Centro,"Unifi Unidade De Fisioterapia Intensiva S S Ltda, 443, Centro, Mogi Das Cruzes, Sp",(11) 4799-3460,,unifi.fisio@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Unifi+Unidade+De+Fisioterapia+Intensiva+S+S+Ltda+UNIFI+UNIDADE+DE+FISIOTERAPIA+INTENSIVA+S+S+LTDA%2C+443%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530607152272; CNES 7152272; CNPJ 05131409000160; site oficial/redes não coletados nesta fonte,Unifi Unidade De Fisioterapia Intensiva S S Ltda
Associacao Psicologica De Guarulhos,Saúde,Clínica,Guarulhos,Centro,"Associacao Psicologica De Guarulhos Cnpj 54789169000100, 55, Centro, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Associacao+Psicologica+De+Guarulhos+ASSOCIACAO+PSICOLOGICA+DE+GUARULHOS+CNPJ+54789169000100%2C+55%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518801058207; CNES 1058207; CNPJ -; site oficial/redes não coletados nesta fonte,Associacao Psicologica De Guarulhos
Upa Jundiapeba,Saúde,Pronto Atendimento / UPA,Mogi das Cruzes,Jundiapeba,"Prefeitura Municipal De Mogi Das Cruzes, S/N, Jundiapeba, Mogi Das Cruzes, Sp",(11) 4798-5990,,ubs.jundiapeba@pmmc.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Upa+Jundiapeba+PREFEITURA+MUNICIPAL+DE+MOGI+DAS+CRUZES%2C+S%2FN%2C+JUNDIAPEBA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530602773597; CNES 2773597; CNPJ -; site oficial/redes não coletados nesta fonte,Upa Jundiapeba
Cepac Centro De Diagnosticos,Saúde,Clínica,Guarulhos,Vila Hilda,"Cepac Centro De Diagnosticos Ltda, 5, Vila Hilda, Guarulhos, Sp",(11) 2442-2200,,cepac@cepac.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cepac+Centro+De+Diagnosticos+CEPAC+CENTRO+DE+DIAGNOSTICOS+LTDA%2C+5%2C+VILA+HILDA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805459087; CNES 5459087; CNPJ 49810617000323; site oficial/redes não coletados nesta fonte,Cepac Centro De Diagnosticos
Cepac Centro De Diagnosticos,Saúde,Clínica,Guarulhos,Macedo,"Cepac Centro De Diagnosticos Ltda, 910, Macedo, Guarulhos, Sp",(11) 2442-2200,,cepac@cepac.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cepac+Centro+De+Diagnosticos+CEPAC+CENTRO+DE+DIAGNOSTICOS+LTDA%2C+910%2C+MACEDO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518809876464; CNES 9876464; CNPJ 49810617000838; site oficial/redes não coletados nesta fonte,Cepac Centro De Diagnosticos
Cintra E Youssef Medicos Associados,Saúde,Clínica,Guarulhos,Centro,"Cintra E Youssef Medicos Associados Ltda, 2120, Centro, Guarulhos, Sp",(11) 96300-7986,(11) 96300-7986,joao_maciel@uol.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Cintra+E+Youssef+Medicos+Associados+CINTRA+E+YOUSSEF+MEDICOS+ASSOCIADOS+LTDA%2C+2120%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518803795012; CNES 3795012; CNPJ 36654209000205; site oficial/redes não coletados nesta fonte,Cintra E Youssef Medicos Associados
Centro De Equoterapia E Reabilitacao Lorenzo C Campos,Saúde,Clínica,Guarulhos,Jardim Maia,"Centro De Equoterapia E Reabilitacao Lorenzo C Campos Ltda, 153, Jardim Maia, Guarulhos, Sp",(11) 94039-4067,(11) 94039-4067,coordenacaolorenzo@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Centro+De+Equoterapia+E+Reabilitacao+Lorenzo+C+Campos+CENTRO+DE+EQUOTERAPIA+E+REABILITACAO+LORENZO+C+CAMPOS+LTDA%2C+153%2C+JARDIM+MAIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805909317; CNES 5909317; CNPJ 44587432000205; site oficial/redes não coletados nesta fonte,Centro De Equoterapia E Reabilitacao Lorenzo C Campos
Clinica Calegari,Saúde,Clínica,Guarulhos,Jardim Eugenia,"Clinica Carvalho Calegari Centro Odontologico Ltda, 1550, Jardim Eugenia, Guarulhos, Sp",(11) 3428-1350,,adm@clinicacalegari.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Calegari+CLINICA+CARVALHO+CALEGARI+CENTRO+ODONTOLOGICO+LTDA%2C+1550%2C+JARDIM+EUGENIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802872250; CNES 2872250; CNPJ 44034263000197; site oficial/redes não coletados nesta fonte,Clinica Calegari
Clinica De Psicologia Dnll,Saúde,Clínica,Guarulhos,Macedo,"Clinica De Psicologia Dnll Ltda, 1929, Macedo, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+De+Psicologia+Dnll+CLINICA+DE+PSICOLOGIA+DNLL+LTDA%2C+1929%2C+MACEDO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802967359; CNES 2967359; CNPJ 29498231000230; site oficial/redes não coletados nesta fonte,Clinica De Psicologia Dnll
Clinica Leila Loutfi,Saúde,Clínica,Guarulhos,Vila Silveira,"Clinica Leila Loutfi Medicina Integrada Eireli, 111, Vila Silveira, Guarulhos, Sp",,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Leila+Loutfi+CLINICA+LEILA+LOUTFI+MEDICINA+INTEGRADA+EIRELI%2C+111%2C+VILA+SILVEIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,30,Prioridade Baixa,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518803903095; CNES 3903095; CNPJ 20451158000195; site oficial/redes não coletados nesta fonte,Clinica Leila Loutfi
Clinica Medica Doutor Tem Ltda,Saúde,Clínica,Guarulhos,Jardim Paraiso,"Clinica Medica Doutor Tem Ltda, 800, Jardim Paraiso, Guarulhos, Sp",(11) 4966-4748,,claudiaspala33@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Medica+Doutor+Tem+Ltda+CLINICA+MEDICA+DOUTOR+TEM+LTDA%2C+800%2C+JARDIM+PARAISO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,50,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804118324; CNES 4118324; CNPJ 38471006000110; site oficial/redes não coletados nesta fonte,Clinica Medica Doutor Tem Ltda
