Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais
Colégio Mariano Barboza de Guarulhos,Escola,Colégio,Guarulhos,Jardim Ponte Alta I,"Mario Luis Macca, 737, Rua, Jardim Ponte Alta I, Guarulhos, SP",(11) 99732-7336,(11) 99732-7336,,,,,,https://www.google.com/maps/search/?api=1&query=Mario+Luis+Macca%2C+737%2C+Rua%2C+Jardim+Ponte+Alta+I%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-mariano-barboza-de-guarulhos-35580512; site oficial/redes não coletados nesta fonte
Davilohn Kids Colégio,Escola,Colégio,Guarulhos,Parque Renato Maia,"Avenida Doutor Renato de Andrade Maia, 473, Parque Renato Maia, Guarulhos, SP",(11) 99916-6649,(11) 99916-6649,,,,,,https://www.google.com/maps/search/?api=1&query=Avenida+Doutor+Renato+de+Andrade+Maia%2C+473%2C+Parque+Renato+Maia%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/davilohn-kids-colegio-35010556; site oficial/redes não coletados nesta fonte
Dom Bosco Colégio,Escola,Colégio,Guarulhos,Jardim Maia,"Antonio Marques Luiz, 159, Jardim Maia, Guarulhos, SP",(11) 93802-2888,(11) 93802-2888,,,,,,https://www.google.com/maps/search/?api=1&query=Antonio+Marques+Luiz%2C+159%2C+Jardim+Maia%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/dom-bosco-colegio-35189807; site oficial/redes não coletados nesta fonte
Nova Geracao Colégio,Escola,Colégio,Guarulhos,Vila Nova Bonsucesso,"Antonio Tava, 789, Rua, Vila Nova Bonsucesso, Guarulhos, SP",(11) 96321-9542,(11) 96321-9542,,,,,,https://www.google.com/maps/search/?api=1&query=Antonio+Tava%2C+789%2C+Rua%2C+Vila+Nova+Bonsucesso%2C+Guarulhos-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/nova-geracao-colegio-35805865; site oficial/redes não coletados nesta fonte
Colégio Eterno Aprendiz,Escola,Colégio,Itaquaquecetuba,Jardim Santa Helena,"Vereador Benedito Marcos Ribeiro, 85, Jardim Santa Helena, Itaquaquecetuba, SP",(11) 96895-0993,(11) 96895-0993,,,,,,https://www.google.com/maps/search/?api=1&query=Vereador+Benedito+Marcos+Ribeiro%2C+85%2C+Jardim+Santa+Helena%2C+Itaquaquecetuba-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-eterno-aprendiz-35004323; site oficial/redes não coletados nesta fonte
Colégio Batista de Itaqua,Escola,Colégio,Itaquaquecetuba,Vila Zeferina,"Nemezio Candido Gomes, 90, Rua, Vila Zeferina, Itaquaquecetuba, SP",(11) 97803-6504,(11) 97803-6504,,,,,,https://www.google.com/maps/search/?api=1&query=Nemezio+Candido+Gomes%2C+90%2C+Rua%2C+Vila+Zeferina%2C+Itaquaquecetuba-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-batista-de-itaqua-35581641; site oficial/redes não coletados nesta fonte
Itaqua Colégio,Escola,Colégio,Itaquaquecetuba,Vila Zeferina,"Italo Adami, 1450, Avenida, Vila Zeferina, Itaquaquecetuba, SP",(11) 97387-9921,(11) 97387-9921,,,,,,https://www.google.com/maps/search/?api=1&query=Italo+Adami%2C+1450%2C+Avenida%2C+Vila+Zeferina%2C+Itaquaquecetuba-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/itaqua-colegio-35150289; site oficial/redes não coletados nesta fonte
Paulista Colégio Tecnico,Escola,Colégio,Itaquaquecetuba,Centro,"Joao Vagnotti, 352, Centro, Itaquaquecetuba, SP",(11) 98397-9498,(11) 98397-9498,,,,,,https://www.google.com/maps/search/?api=1&query=Joao+Vagnotti%2C+352%2C+Centro%2C+Itaquaquecetuba-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/paulista-colegio-tecnico-35149238; site oficial/redes não coletados nesta fonte
Colégio Educacional Pequeno Gigante,Escola,Colégio,Suzano,Vila Amorim,"Amelia Guerra, 128, Vila Amorim, Suzano, SP",(11) 97865-3923,(11) 97865-3923,,,,,,https://www.google.com/maps/search/?api=1&query=Amelia+Guerra%2C+128%2C+Vila+Amorim%2C+Suzano-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/colegio-educacional-pequeno-gigante-35009725; site oficial/redes não coletados nesta fonte
Alpha Colégio Eifm,Escola,Colégio,Arujá,Jardim Fazenda Rincao,"Fenacita, 95, Travessa, Jardim Fazenda Rincao, Arujá, SP",(11) 95156-2208,(11) 95156-2208,,,,,,https://www.google.com/maps/search/?api=1&query=Fenacita%2C+95%2C+Travessa%2C+Jardim+Fazenda+Rincao%2C+Aruj%C3%A1-SP,,,sem informação,65,Prioridade Média,Fonte Escolas.com.br: http://escolas.com.br/alpha-colegio-eifm-35151920; site oficial/redes não coletados nesta fonte
Cosp Clinica Odontologica De Sp,Saúde,Clínica,Mogi das Cruzes,Centro,"D Sorriso Clinica Odontologica Ltda, 288, Centro, Mogi Das Cruzes, Sp",(11) 9741-9091,(11) 9741-9091,jjdcontabil@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Cosp+Clinica+Odontologica+De+Sp+D+SORRISO+CLINICA+ODONTOLOGICA+LTDA%2C+288%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600613878; CNES 0613878; CNPJ 37944648000126; site oficial/redes não coletados nesta fonte
Nucleo De Saude Mental Senso Vita,Saúde,Clínica,Mogi das Cruzes,Centro,"Nucleo De Saude Mental Senso Vita Ltda, 22, Centro, Mogi Das Cruzes, Sp",(11) 9499-3598,(11) 9499-3598,nucleosensovita@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Nucleo+De+Saude+Mental+Senso+Vita+NUCLEO+DE+SAUDE+MENTAL+SENSO+VITA+LTDA%2C+22%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604080734; CNES 4080734; CNPJ 42294601000102; site oficial/redes não coletados nesta fonte
Odontologia Especializada Em Harmonizacao Oral E Facial,Saúde,Clínica,Mogi das Cruzes,Vila Mogilar,"Vavallo Pizzolato Odontologia E Estetica Especializada Ltda, 269, Vila Mogilar, Mogi Das Cruzes, Sp",(11) 9813-4553,(11) 9813-4553,dratiscilavavallo@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Odontologia+Especializada+Em+Harmonizacao+Oral+E+Facial+VAVALLO+PIZZOLATO+ODONTOLOGIA+E+ESTETICA+ESPECIALIZADA+LTDA%2C+269%2C+VILA+MOGILAR%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530604448111; CNES 4448111; CNPJ 52203578000149; site oficial/redes não coletados nesta fonte
Qualiposture Fisioterapia E Pilates Ltda,Saúde,Clínica,Mogi das Cruzes,Alto Ipiranga,"Qualiposture Fisioterapia E Pilates Ltda, 13, Alto Ipiranga, Mogi Das Cruzes, Sp",(11) 9906-5065,(11) 9906-5065,larifisio.pilates@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Qualiposture+Fisioterapia+E+Pilates+Ltda+QUALIPOSTURE+FISIOTERAPIA+E+PILATES+LTDA%2C+13%2C+ALTO+IPIRANGA%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600636975; CNES 0636975; CNPJ 19613475000181; site oficial/redes não coletados nesta fonte
Solferini Servicos Medicos,Saúde,Clínica,Mogi das Cruzes,Centro,"Solferini Servicos Medicos Ltda, 335, Centro, Mogi Das Cruzes, Sp",(11) 97336-6763,(11) 97336-6763,marialaurasegalla@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Solferini+Servicos+Medicos+SOLFERINI+SERVICOS+MEDICOS+LTDA%2C+335%2C+CENTRO%2C+MOGI+DAS+CRUZES%2C+SP+Mogi+das+Cruzes+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3530600787566; CNES 0787566; CNPJ 38830383000106; site oficial/redes não coletados nesta fonte
Adrenal Diagnosticos Por Imagem Ltda,Saúde,Clínica,Guarulhos,Macedo,"Adrenal Diagnosticos Por Imagem Ltda, 654, Macedo, Guarulhos, Sp",(11) 99895-4595,(11) 99895-4595,felipe@adrenal.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Adrenal+Diagnosticos+Por+Imagem+Ltda+ADRENAL+DIAGNOSTICOS+POR+IMAGEM+LTDA%2C+654%2C+MACEDO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518808199914; CNES 8199914; CNPJ 24449306000279; site oficial/redes não coletados nesta fonte
Aponchik Saude Infantil E Ocupacional,Saúde,Pronto Atendimento / UPA,Guarulhos,Gopouva,"Aponchik Saude Infantil E Ocupacional Ltda, 34, Gopouva, Guarulhos, Sp",(11) 96424-0718,(11) 96424-0718,cnesbr@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Aponchik+Saude+Infantil+E+Ocupacional+APONCHIK+SAUDE+INFANTIL+E+OCUPACIONAL+LTDA%2C+34%2C+GOPOUVA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804443977; CNES 4443977; CNPJ 02360116000167; site oficial/redes não coletados nesta fonte
Asconcipa Clinica Medica Humanizada E Odontologia,Saúde,Clínica,Guarulhos,Aeroporto,"Asconcipa Clinica Medica Humanizada E Odontologia Ltda, S/N, Aeroporto, Guarulhos, Sp",(11) 97584-6811,(11) 97584-6811,saudeocupacional@asconcipa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Asconcipa+Clinica+Medica+Humanizada+E+Odontologia+ASCONCIPA+CLINICA+MEDICA+HUMANIZADA+E+ODONTOLOGIA+LTDA%2C+S%2FN%2C+AEROPORTO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518808178429; CNES 8178429; CNPJ 59145186000110; site oficial/redes não coletados nesta fonte
Bio Ciencia Lavosier Analises Clinicas,Saúde,Clínica,Guarulhos,Vila Progresso,"Diagnosticos Da America Sa, 56, Vila Progresso, Guarulhos, Sp",(11) 93067-1973,(11) 93067-1973,caroline.mendes@dasa.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Bio+Ciencia+Lavosier+Analises+Clinicas+DIAGNOSTICOS+DA+AMERICA+SA%2C+56%2C+VILA+PROGRESSO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805009413; CNES 5009413; CNPJ 61486650003360; site oficial/redes não coletados nesta fonte
Caps Ii Dr Osorio Cesar,Saúde,Clínica,Guarulhos,Vila Camargos,"Prefeitura Municipal De Guarulhos, 330, Vila Camargos, Guarulhos, Sp",(11) 96906-3265,(11) 96906-3265,caps2.osoriocesar@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Caps+Ii+Dr+Osorio+Cesar+PREFEITURA+MUNICIPAL+DE+GUARULHOS%2C+330%2C+VILA+CAMARGOS%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802090562; CNES 2090562; CNPJ -; site oficial/redes não coletados nesta fonte
Caps Infanto Juvenil Amigo Jovem,Saúde,Clínica,Guarulhos,Cid Ind Sat Cumbica,"Municipio De Guarulhos, 218, Cid Ind Sat Cumbica, Guarulhos, Sp",(11) 97541-8340,(11) 97541-8340,capsiguarujovem@saudedafamilia.org,,,,,https://www.google.com/maps/search/?api=1&query=Caps+Infanto+Juvenil+Amigo+Jovem+MUNICIPIO+DE+GUARULHOS%2C+218%2C+CID+IND+SAT+CUMBICA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804113004; CNES 4113004; CNPJ -; site oficial/redes não coletados nesta fonte
Casimiro Leao Odontologia,Saúde,Clínica,Guarulhos,Jardim Do Triunfo,"S N L Casimiro Consultorio Odontologico, 332, Jardim Do Triunfo, Guarulhos, Sp",(11) 96195-6862,(11) 96195-6862,contato@concespbrasil.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Casimiro+Leao+Odontologia+S+N+L+CASIMIRO+CONSULTORIO+ODONTOLOGICO%2C+332%2C+JARDIM+DO+TRIUNFO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804466268; CNES 4466268; CNPJ 43859848000183; site oficial/redes não coletados nesta fonte
Centro Clinico Solda Ltda,Saúde,Clínica,Guarulhos,Jardim Sao Paulo,"Centro Clinico Solda Ltda, 43, Jardim Sao Paulo, Guarulhos, Sp",(11) 96195-6862,(11) 96195-6862,luizffsolda@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Centro+Clinico+Solda+Ltda+CENTRO+CLINICO+SOLDA+LTDA%2C+43%2C+JARDIM+SAO+PAULO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804531116; CNES 4531116; CNPJ 28369349000114; site oficial/redes não coletados nesta fonte
Centro Integrado Terapeutico Sao Judas Guarulhos,Saúde,Clínica,Guarulhos,Centro,"Centro Integrado Terapeutico Sao Judas Guarulhos Ltda, 525, Centro, Guarulhos, Sp",(11) 99791-8589,(11) 99791-8589,cadastros@contclaro.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Centro+Integrado+Terapeutico+Sao+Judas+Guarulhos+CENTRO+INTEGRADO+TERAPEUTICO+SAO+JUDAS+GUARULHOS+LTDA%2C+525%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804524020; CNES 4524020; CNPJ 42399101000127; site oficial/redes não coletados nesta fonte
Centro De Equoterapia E Reabilitacao Lorenzo C Campos,Saúde,Clínica,Guarulhos,Jardim Maia,"Centro De Equoterapia E Reabilitacao Lorenzo C Campos, 244, Jardim Maia, Guarulhos, Sp",(11) 94039-4067,(11) 94039-4067,coordenacaolorenzo@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Centro+De+Equoterapia+E+Reabilitacao+Lorenzo+C+Campos+CENTRO+DE+EQUOTERAPIA+E+REABILITACAO+LORENZO+C+CAMPOS%2C+244%2C+JARDIM+MAIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804904885; CNES 4904885; CNPJ 44587432000116; site oficial/redes não coletados nesta fonte; Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805909317; CNES 5909317; CNPJ 44587432000205; site oficial/redes não coletados nesta fonte
Clinica Blue Dream,Saúde,Clínica,Guarulhos,Jardim Guarulhos,"Clinica Blue Dream Ltda, 85, Jardim Guarulhos, Guarulhos, Sp",(11) 98775-5870,(11) 98775-5870,adm@clinicabluedream.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Blue+Dream+CLINICA+BLUE+DREAM+LTDA%2C+85%2C+JARDIM+GUARULHOS%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804397053; CNES 4397053; CNPJ 48112982000130; site oficial/redes não coletados nesta fonte
Clinica Carlos Simao,Saúde,Clínica,Guarulhos,Vila Rosalia,"Clinica Carlos Simao, 122, Vila Rosalia, Guarulhos, Sp",(11) 99475-2223,(11) 99475-2223,clinicacarlossimao@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Carlos+Simao+CLINICA+CARLOS+SIMAO%2C+122%2C+VILA+ROSALIA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804985834; CNES 4985834; CNPJ 55209776000108; site oficial/redes não coletados nesta fonte
Clinica Cor,Saúde,Clínica,Guarulhos,Vila Moreira,"Clinica Cor Ltda, 93, Vila Moreira, Guarulhos, Sp",(11) 94249-4878,(11) 94249-4878,dr.leonardocosta@outlook.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Cor+CLINICA+COR+LTDA%2C+93%2C+VILA+MOREIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804118375; CNES 4118375; CNPJ 27274973000175; site oficial/redes não coletados nesta fonte
Clinica Fisio Quality Life,Saúde,Clínica,Guarulhos,Centro,"Clinica Fisio Quality Life Ltda, 103, Centro, Guarulhos, Sp",(11) 98999-1152,(11) 98999-1152,clinicafisioqualitylife@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Fisio+Quality+Life+CLINICA+FISIO+QUALITY+LIFE+LTDA%2C+103%2C+CENTRO%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518805637058; CNES 5637058; CNPJ 57442646000146; site oficial/redes não coletados nesta fonte
Clinica Green Life,Saúde,Clínica,Guarulhos,Vila Moreira,"Clinica Green Life Ltda, 93, Vila Moreira, Guarulhos, Sp",(11) 94270-0864,(11) 94270-0864,contato@clinicagreenlife.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Green+Life+CLINICA+GREEN+LIFE+LTDA%2C+93%2C+VILA+MOREIRA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804467647; CNES 4467647; CNPJ 52381250000112; site oficial/redes não coletados nesta fonte
Clinica Integrasou,Saúde,Clínica,Guarulhos,Jardim Santa Mena,"Clinica Integrasou Psicologia E Terapia Multidisciplinar Ltd, 667, Jardim Santa Mena, Guarulhos, Sp",(11) 97974-1833,(11) 97974-1833,fernando.andalecio@clinicaintegrasou.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Integrasou+CLINICA+INTEGRASOU+PSICOLOGIA+E+TERAPIA+MULTIDISCIPLINAR+LTD%2C+667%2C+JARDIM+SANTA+MENA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804467663; CNES 4467663; CNPJ 52528350000129; site oficial/redes não coletados nesta fonte
Clinica Medivita,Saúde,Clínica,Guarulhos,Vila Nova Cumbica,"Clinica Medica E Odontologica Medivita Ltda, 347, Vila Nova Cumbica, Guarulhos, Sp",(11) 97033-1647,(11) 97033-1647,leticiacumbica@hotmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Medivita+CLINICA+MEDICA+E+ODONTOLOGICA+MEDIVITA+LTDA%2C+347%2C+VILA+NOVA+CUMBICA%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518804204077; CNES 4204077; CNPJ 35193007000151; site oficial/redes não coletados nesta fonte
Clinica Multidisciplinar Humanizar,Saúde,Clínica,Guarulhos,Vila Rachid,"Clinica Multidisciplinar Humanizar Ltda, 72, Vila Rachid, Guarulhos, Sp",(11) 98235-0457,(11) 98235-0457,clinicahumanizar@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+Multidisciplinar+Humanizar+CLINICA+MULTIDISCIPLINAR+HUMANIZAR+LTDA%2C+72%2C+VILA+RACHID%2C+GUARULHOS%2C+SP+Guarulhos+SP,,,sem informação,65,Prioridade Média,Fonte CNES/DATASUS: https://cnes2.datasus.gov.br/Mod_Basico.asp?VCo_Unidade=3518802842335; CNES 2842335; CNPJ 34517288000198; site oficial/redes não coletados nesta fonte
