Nome,Tipo,Categoria,Cidade,Bairro,Endereço,Telefone,WhatsApp,E-mail,Site,Instagram,Facebook,LinkedIn,Google Maps,Nota no Google,Quantidade de avaliações,Status,Score comercial,Classificação comercial,Observações comerciais
Colégio Itaquá,Escola,Colégio,Itaquaquecetuba,Vila Zeferina,"Avenida Ítalo Adami, 1386, Vila Zeferina, Itaquaquecetuba, SP",+55 11 4647 0763,,,https://www.colegioitaqua.com.br/,,https://pt-br.facebook.com/colegioitaqua/,,https://www.google.com/maps/search/?api=1&query=Col%C3%A9gio+Itaqu%C3%A1+Avenida+%C3%8Dtalo+Adami%2C+1386%2C+Vila+Zeferina%2C+Itaquaquecetuba%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte
Centro Médico São Lucas,Saúde,Hospital,Itaquaquecetuba,Centro,"Rua João Vagnotti, 62, Centro, Itaquaquecetuba, SP",+55 11 4652 4343,,,https://cmsaolucas.com.br/,,https://www.facebook.com/oficialsaolucas,,https://www.google.com/maps/search/?api=1&query=Centro+M%C3%A9dico+S%C3%A3o+Lucas+Rua+Jo%C3%A3o+Vagnotti%2C+62%2C+Centro%2C+Itaquaquecetuba%2C+SP,,,sem informação,76,Prioridade Alta,tem site; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte
Hospital Regional do Alto Tietê,Saúde,Hospital,Suzano,Vila Amorim,"Rua Doutor Prudente de Moraes, 2200, Vila Amorim, Suzano, SP",+55 11 4744 8230,,comunicacao.has@hcnet.usp.br,,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Regional+do+Alto+Tiet%C3%AA+Rua+Doutor+Prudente+de+Moraes%2C+2200%2C+Vila+Amorim%2C+Suzano%2C+SP,,,sem informação,75,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Hospital Santa Maria de Suzano,Saúde,Hospital,Suzano,Parque Suzano,"Avenida Armando de Salles Oliveira, Parque Suzano, Suzano, SP",+55 11 4746 5188,,,,,https://www.facebook.com/hospitalstamariasuzano/,,https://www.google.com/maps/search/?api=1&query=Hospital+Santa+Maria+de+Suzano+Avenida+Armando+de+Salles+Oliveira%2C+Parque+Suzano%2C+Suzano%2C+SP,,,sem informação,75,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; nota/avaliacoes Google nao coletadas nesta fonte
Escola SESI-SP de Mogi das Cruzes,Escola,Escola,Mogi das Cruzes,Vila Oliveira,"Rua Coronel Cardoso de Siqueira, 3050, Vila Oliveira, Mogi das Cruzes, SP",+55 11 4791 3679,,,https://mogidascruzes.sesisp.org.br/,,,,https://www.google.com/maps/search/?api=1&query=Escola+SESI-SP+de+Mogi+das+Cruzes+Rua+Coronel+Cardoso+de+Siqueira%2C+3050%2C+Vila+Oliveira%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,74,Prioridade Alta,tem site; telefone localizado; redes sociais nao localizadas; operador: private_non_profit; nota/avaliacoes Google nao coletadas nesta fonte
Hospital Municipal Manuel de Paiva,Saúde,Hospital,Guarulhos,Água Chata,"Rua São José do Paraíso, 100, Água Chata, Guarulhos, SP",+55 11 2489 6610,,,https://www.spdm.org.br/onde-estamos/hospitais/hospital-municipal-pimentas-bonsucesso-guarulhos,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Municipal+Manuel+de+Paiva+Rua+S%C3%A3o+Jos%C3%A9+do+Para%C3%ADso%2C+100%2C+%C3%81gua+Chata%2C+Guarulhos%2C+SP,,,sem informação,74,Prioridade Alta,tem site; telefone localizado; redes sociais nao localizadas; operador: private_non_profit; nota/avaliacoes Google nao coletadas nesta fonte
Hospital Geral de Itaquaquecetuba,Saúde,Hospital,Itaquaquecetuba,Jardim Nova Itaqua,"Rua Rio Negro, 48, Jardim Nova Itaqua, Itaquaquecetuba, SP",+55 11 4645 4200,,,https://santamarcelina.org/itaquaquecetuba/,,,,https://www.google.com/maps/search/?api=1&query=Hospital+Geral+de+Itaquaquecetuba+Rua+Rio+Negro%2C+48%2C+Jardim+Nova+Itaqua%2C+Itaquaquecetuba%2C+SP,,,sem informação,74,Prioridade Alta,tem site; telefone localizado; redes sociais nao localizadas; operador: private_non_profit; nota/avaliacoes Google nao coletadas nesta fonte
Fisiomed Clínica Médica  e Fisioterapia,Saúde,Clínica,Guarulhos,São João,"Rodovia Vereador Francisco de Almeida, 2430, São João, Guarulhos, SP",+55 11 2467 2801,,fisiomedclin@yahoo.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Fisiomed+Cl%C3%ADnica+M%C3%A9dica++e+Fisioterapia+Rodovia+Vereador+Francisco+de+Almeida%2C+2430%2C+S%C3%A3o+Jo%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,71,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Centro de Especialidades Médicas de Guarulhos São João,Saúde,Clínica,Guarulhos,São João,"Rua Taipú, 116, São João, Guarulhos, SP",+55 11 2086 2280,,cemeg.saojoao@gmail.com,,,,,https://www.google.com/maps/search/?api=1&query=Centro+de+Especialidades+M%C3%A9dicas+de+Guarulhos+S%C3%A3o+Jo%C3%A3o+Rua+Taip%C3%BA%2C+116%2C+S%C3%A3o+Jo%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,71,Prioridade Alta,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Clinica Médica São João,Saúde,Clínica,Guarulhos,São João,"Rua Lagoa de Dentro, São João, Guarulhos, SP",+55 11 2229 2930,,,,,,,https://www.google.com/maps/search/?api=1&query=Clinica+M%C3%A9dica+S%C3%A3o+Jo%C3%A3o+Rua+Lagoa+de+Dentro%2C+S%C3%A3o+Jo%C3%A3o%2C+Guarulhos%2C+SP,,,sem informação,69,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; redes sociais nao localizadas; operador: private; nota/avaliacoes Google nao coletadas nesta fonte
Escola de Governo e Gestão,Escola,Escola,Mogi das Cruzes,Centro Cívico,"Rua Antenor da Cunha Leite, 55, Centro Cívico, Mogi das Cruzes, SP",+55 11 4798 5933,,escoladegovernoegestao@pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/todos-os-assuntos/escola-de-governo-e-gestao,,,,https://www.google.com/maps/search/?api=1&query=Escola+de+Governo+e+Gest%C3%A3o+Rua+Antenor+da+Cunha+Leite%2C+55%2C+Centro+C%C3%ADvico%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Escola Municipal de Educação Infantil Professora Cecília de Souza Lima Vianna,Escola,Escola Infantil,Mogi das Cruzes,Taiaçupeba,"Rua Avelino Nunes de Souza, 235, Taiaçupeba, Mogi das Cruzes, SP",+55 11 4724 0761,,em.vianna@se-pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/0/escola-municipal-cecilia-de-souza-lima-vianna-prof,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+de+Educa%C3%A7%C3%A3o+Infantil+Professora+Cec%C3%ADlia+de+Souza+Lima+Vianna+Rua+Avelino+Nunes+de+Souza%2C+235%2C+Taia%C3%A7upeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Municipal José Alves dos Santos,Escola,Escola,Mogi das Cruzes,Jundiapeba,"Rua Pedro Paulo dos Santos, 2485, Jundiapeba, Mogi das Cruzes, SP",+55 11 4721 2085,,em.santos@se-pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/0/escola-municipal-jose-alves-dos-santos,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+Jos%C3%A9+Alves+dos+Santos+Rua+Pedro+Paulo+dos+Santos%2C+2485%2C+Jundiapeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Centro Municipal de Programa Educacional Oswaldo Regino Ornellas,Escola,Centro Educacional,Mogi das Cruzes,Jundiapeba,"Rua Benedita Pereira Franco, 2801, Jundiapeba, Mogi das Cruzes, SP",+55 11 4721 3645,,cempre.ornellas@se-pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/0/cempre-oswaldo-regino-ornellas,,,,https://www.google.com/maps/search/?api=1&query=Centro+Municipal+de+Programa+Educacional+Oswaldo+Regino+Ornellas+Rua+Benedita+Pereira+Franco%2C+2801%2C+Jundiapeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Centro Educacional de Educação Infantil Professora Luiza Conceição Silva,Escola,Escola Infantil,Mogi das Cruzes,Jundiapeba,"Avenida Gumercindo Gonçalves, Jundiapeba, Mogi das Cruzes, SP",+55 11 3996 7214,,ceim.conceicao@se-pmmc.com.br,https://www.mogidascruzes.sp.gov.br/unidade-e-equipamento/0/ceic-arte-do-aprender-ceim-luiza-conceicao-silva-prof,,,,https://www.google.com/maps/search/?api=1&query=Centro+Educacional+de+Educa%C3%A7%C3%A3o+Infantil+Professora+Luiza+Concei%C3%A7%C3%A3o+Silva+Avenida+Gumercindo+Gon%C3%A7alves%2C+Jundiapeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola de Educação Infantil e Ensino Fundamental Professora  Botyra Camorim Gatti,Escola,Escola Infantil,Mogi das Cruzes,Alto do Ipiranga,"Rua Carmem Moura Santos, 134, Alto do Ipiranga, Mogi das Cruzes, SP",+55 11 4799 9548,,apae@apaemc.org.br,https://apaemc.org.br/apae/quem-somos/,,,,https://www.google.com/maps/search/?api=1&query=Escola+de+Educa%C3%A7%C3%A3o+Infantil+e+Ensino+Fundamental+Professora++Botyra+Camorim+Gatti+Rua+Carmem+Moura+Santos%2C+134%2C+Alto+do+Ipiranga%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Centro Educacional Nipo-Brasileiro de Suzano,Escola,Centro Educacional,Suzano,Sítio Suíço,"Rua Dib Tannus, 536, Sítio Suíço, Suzano, SP",+55 11 4742 8584,,secretaria@cenibras.com.br,https://www.cenibras.com.br/,,,,https://www.google.com/maps/search/?api=1&query=Centro+Educacional+Nipo-Brasileiro+de+Suzano+Rua+Dib+Tannus%2C+536%2C+S%C3%ADtio+Su%C3%AD%C3%A7o%2C+Suzano%2C+SP,,,sem informação,68,Prioridade Média,tem site; telefone localizado; e-mail localizado; redes sociais nao localizadas; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Professora Maria Rodrigues Gonçalves,Escola,Escola,Mogi das Cruzes,Jardim Maricá,"Rua Pedro Alvares Cabral, 1, Jardim Maricá, Mogi das Cruzes, SP",+55 11 4790 5262,,E006836a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Professora+Maria+Rodrigues+Gon%C3%A7alves+Rua+Pedro+Alvares+Cabral%2C+1%2C+Jardim+Maric%C3%A1%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Padre Bernardo Murphy,Escola,Escola,Mogi das Cruzes,Rio Acima,"Rua Treze, 100, Rio Acima, Mogi das Cruzes, SP",+55 11 4797 2178,,e079900a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Padre+Bernardo+Murphy+Rua+Treze%2C+100%2C+Rio+Acima%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Professor Firmino Ladeira,Escola,Escola,Mogi das Cruzes,Mogi Moderno,"Avenida Brasil, 840, Mogi Moderno, Mogi das Cruzes, SP",+55 11 4796 2789,,e006725a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Professor+Firmino+Ladeira+Avenida+Brasil%2C+840%2C+Mogi+Moderno%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Professor Francisco de Souza Mello,Escola,Escola,Mogi das Cruzes,Vila São Paulo,"Rua Aurora, 180, Vila São Paulo, Mogi das Cruzes, SP",+55 11 4792 7166,,e006701a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Professor+Francisco+de+Souza+Mello+Rua+Aurora%2C+180%2C+Vila+S%C3%A3o+Paulo%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Municipal Professora Florisa Faustino Pinto,Escola,Escola,Mogi das Cruzes,Porteira Preta,"Rua Europa, 20, Porteira Preta, Mogi das Cruzes, SP",+55 11 4727 1976,,em.faustino@se-pmmc.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+Professora+Florisa+Faustino+Pinto+Rua+Europa%2C+20%2C+Porteira+Preta%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Benedito de Souza Lima,Escola,Escola,Mogi das Cruzes,Taiaçupeba,"Rua Guararema, 138, Taiaçupeba, Mogi das Cruzes, SP",+55 11 4724 0416,,e006841a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Benedito+de+Souza+Lima+Rua+Guararema%2C+138%2C+Taia%C3%A7upeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual José Ribeiro Guimarães,Escola,Escola,Mogi das Cruzes,Vila São Paulo,"Rua Independencia, Vila São Paulo, Mogi das Cruzes, SP",+55 11 4761 7045,,e916961a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Jos%C3%A9+Ribeiro+Guimar%C3%A3es+Rua+Independencia%2C+Vila+S%C3%A3o+Paulo%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Alzira Fernandes Scungisqui,Escola,Escola,Mogi das Cruzes,Jardim Aracy,"Rua Joaquim Rama Forte, 115, Jardim Aracy, Mogi das Cruzes, SP",+55 11 4790 5185,,e921063a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Alzira+Fernandes+Scungisqui+Rua+Joaquim+Rama+Forte%2C+115%2C+Jardim+Aracy%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Professor Paulo Ferrari Massaro,Escola,Escola,Mogi das Cruzes,Jundiapeba,"Rua Alexandre Andreotti, 400, Jundiapeba, Mogi das Cruzes, SP",+55 11 4727 1792,,e035543a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Professor+Paulo+Ferrari+Massaro+Rua+Alexandre+Andreotti%2C+400%2C+Jundiapeba%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Municipal Professora Noemia Real Fidalgo,Escola,Escola,Mogi das Cruzes,Jardim Maricá,"Avenida Ezelino da Cunha Glória, 285, Jardim Maricá, Mogi das Cruzes, SP",+55 11 4791 0322,,em.fidalgo@se-pmmc.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+Professora+Noemia+Real+Fidalgo+Avenida+Ezelino+da+Cunha+Gl%C3%B3ria%2C+285%2C+Jardim+Maric%C3%A1%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Municipal Professora Wanda de Almeida Trandafilov,Escola,Escola,Mogi das Cruzes,Parque São Martinho,"Avenida Ricieri Bertaiolli, 300, Parque São Martinho, Mogi das Cruzes, SP",+55 11 4721 9061,,em.trandafilov@se-pmmc.com.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Municipal+Professora+Wanda+de+Almeida+Trandafilov+Avenida+Ricieri+Bertaiolli%2C+300%2C+Parque+S%C3%A3o+Martinho%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
Escola Estadual Professora Sueli Oliveira Silva Martins,Escola,Escola,Mogi das Cruzes,Vila da Prata,"Rua Monte Carmelo, 110, Vila da Prata, Mogi das Cruzes, SP",+55 11 4796 8326,,e906347a@educacao.sp.gov.br,,,,,https://www.google.com/maps/search/?api=1&query=Escola+Estadual+Professora+Sueli+Oliveira+Silva+Martins+Rua+Monte+Carmelo%2C+110%2C+Vila+da+Prata%2C+Mogi+das+Cruzes%2C+SP,,,sem informação,67,Prioridade Média,sem site encontrado na fonte publica; telefone localizado; e-mail localizado; redes sociais nao localizadas; operador: government; nota/avaliacoes Google nao coletadas nesta fonte
